,Payout,Portfolio_Value,Win,Loss,Surrender,Blackjack,Push
137,-50.0,725.0,0,0,1,0,0
138,50.0,775.0,0,0,1,0,0
139,75.0,850.0,1,0,0,1,0
140,-50.0,800.0,0,1,0,0,0
141,50.0,850.0,0,0,1,0,0
142,-50.0,800.0,0,1,0,0,0
143,50.0,850.0,0,0,1,0,0
144,50.0,900.0,0,0,1,0,0
145,50.0,950.0,0,0,1,0,0
146,50.0,1000.0,0,0,1,0,0
147,50.0,1050.0,0,0,1,0,0
148,-50.0,1000.0,0,1,0,0,0
148,-50.0,950.0,0,1,0,0,0
148,0.0,950.0,0,0,0,0,1
149,50.0,1000.0,0,0,1,0,0
150,-50.0,950.0,0,1,0,0,0
151,50.0,1000.0,0,0,1,0,0
152,50.0,1050.0,0,0,1,0,0
153,50.0,1100.0,0,0,1,0,0
154,-50.0,1050.0,0,1,0,0,0
155,50.0,1100.0,0,0,1,0,0
156,0.0,1100.0,0,0,0,0,1
157,50.0,1150.0,0,0,1,0,0
158,50.0,1200.0,0,0,1,0,0
159,-50.0,1150.0,0,0,1,0,0
160,-50.0,1100.0,0,1,0,0,0
161,50.0,1150.0,0,0,1,0,0
162,-50.0,1100.0,0,1,0,0,0
163,-50.0,1050.0,0,1,0,0,0
164,50.0,1100.0,0,0,1,0,0
165,-50.0,1050.0,0,1,0,0,0
166,-50.0,1000.0,0,1,0,0,0
167,50.0,1050.0,0,0,1,0,0
168,0.0,1050.0,0,0,0,0,1
169,0.0,1050.0,0,0,0,0,1
170,75.0,1125.0,1,0,0,1,0
171,-50.0,1075.0,0,1,0,0,0
172,50.0,1125.0,0,0,1,0,0
173,-50.0,1075.0,0,0,1,0,0
174,-50.0,1025.0,0,1,0,0,0
175,0.0,1025.0,0,0,0,0,1
176,0.0,1025.0,0,0,0,0,1
177,-50.0,975.0,0,1,0,0,0
178,-50.0,925.0,0,1,0,0,0
179,50.0,975.0,0,0,1,0,0
180,-50.0,925.0,0,1,0,0,0
181,50.0,975.0,0,0,1,0,0
182,50.0,1025.0,0,0,1,0,0
183,-25.0,1000.0,0,0,1,0,0
184,50.0,1050.0,0,0,1,0,0
185,50.0,1100.0,0,0,1,0,0
186,50.0,1150.0,0,0,1,0,0
187,-50.0,1100.0,0,1,0,0,0
188,-50.0,1050.0,0,1,0,0,0
189,0.0,1050.0,0,0,0,0,1
190,-50.0,1000.0,0,0,1,0,0
191,50.0,1050.0,0,0,1,0,0
192,-50.0,1000.0,0,1,0,0,0
193,50.0,1050.0,0,0,1,0,0
194,50.0,1100.0,0,0,1,0,0
195,-50.0,1050.0,0,0,1,0,0
196,-50.0,1000.0,0,1,0,0,0
197,-50.0,950.0,0,0,1,0,0
198,-50.0,900.0,0,1,0,0,0
199,50.0,950.0,0,0,1,0,0
200,75.0,1025.0,1,0,0,1,0
201,50.0,1075.0,0,0,1,0,0
202,50.0,1125.0,0,0,1,0,0
203,-50.0,1075.0,0,1,0,0,0
204,0.0,1075.0,0,0,0,0,1
205,50.0,1125.0,0,0,1,0,0
206,-50.0,1075.0,0,1,0,0,0
207,50.0,1125.0,0,0,1,0,0
208,50.0,1175.0,0,0,1,0,0
209,50.0,1225.0,0,0,1,0,0
210,50.0,1275.0,0,0,1,0,0
211,-50.0,1225.0,0,1,0,0,0
212,-50.0,1175.0,0,1,0,0,0
213,-50.0,1125.0,0,1,0,0,0
214,50.0,1175.0,0,0,1,0,0
215,-50.0,1125.0,0,1,0,0,0
216,-25.0,1100.0,0,0,1,0,0
217,-50.0,1050.0,0,1,0,0,0
218,50.0,1100.0,0,0,1,0,0
219,-50.0,1050.0,0,1,0,0,0
220,-50.0,1000.0,0,1,0,0,0
221,-50.0,950.0,0,1,0,0,0
222,-50.0,900.0,0,1,0,0,0
223,0.0,900.0,0,0,0,0,1
224,-50.0,850.0,0,1,0,0,0
225,-50.0,800.0,0,1,0,0,0
226,0.0,800.0,0,0,0,0,1
227,-50.0,750.0,0,1,0,0,0
228,50.0,800.0,0,0,1,0,0
229,50.0,850.0,0,0,1,0,0
230,50.0,900.0,0,0,1,0,0
231,-50.0,850.0,0,1,0,0,0
232,50.0,900.0,0,0,1,0,0
233,50.0,950.0,0,0,1,0,0
234,-50.0,900.0,0,1,0,0,0
235,-50.0,850.0,0,1,0,0,0
236,75.0,925.0,1,0,0,1,0
237,0.0,925.0,0,0,0,0,1
238,50.0,975.0,0,0,1,0,0
239,-50.0,925.0,0,1,0,0,0
240,0.0,925.0,0,0,0,0,1
241,50.0,975.0,0,0,1,0,0
242,-50.0,925.0,0,1,0,0,0
243,50.0,975.0,0,0,1,0,0
244,-50.0,925.0,0,1,0,0,0
245,0.0,925.0,0,0,0,0,1
246,75.0,1000.0,1,0,0,1,0
247,50.0,1050.0,0,0,1,0,0
248,0.0,1050.0,0,0,0,0,1
249,-50.0,1000.0,0,1,0,0,0
250,-25.0,975.0,0,0,1,0,0
251,50.0,1025.0,0,0,1,0,0
252,0.0,1025.0,0,0,0,0,1
253,-50.0,975.0,0,1,0,0,0
254,50.0,1025.0,0,0,1,0,0
255,-50.0,975.0,0,1,0,0,0
256,50.0,1025.0,0,0,1,0,0
257,-50.0,975.0,0,0,1,0,0
258,0.0,975.0,0,0,0,0,1
259,0.0,975.0,0,0,0,0,1
260,0.0,975.0,0,0,0,0,1
261,50.0,1025.0,0,0,1,0,0
262,50.0,1075.0,0,0,1,0,0
263,-50.0,1025.0,0,0,1,0,0
264,-25.0,1000.0,0,0,1,0,0
265,50.0,1050.0,0,0,1,0,0
